Issue Key|Summary|Issue Type|Status|Assignee|Reporter|Created|Updated|Priority|Description|Labels|Story Points|Sprint
ECOM-71144|Enhance ordering component, optimize backend Java.|Story|Done|DEV-Giulia|PO-Marco|2024-01-02|2024-01-11|Low|Task to ordering component, backend Java, and cart component. Unique task identifier: b6eb7d8b-373e-4c04-9160-8de05455b42c.|technical, Del Piero|13|1
ECOM-61420|Enhance design, optimize frontend Angular.|Task|In Progress|DEV-Luca|PO-Giulia|2024-01-22|2024-01-29|High|Task to design, frontend Angular, and invoice component. Unique task identifier: 84cbe857-4a70-4caa-86f8-410e68d385b7.|functional, Del Piero|8|2
ECOM-31867|Enhance DevOps activities, optimize design.|Task|In Progress|DEV-Marco|PO-Giulia|2024-01-19|2024-01-26|Low|Task to DevOps activities, design, and ordering component. Unique task identifier: cb2d388e-ca11-4030-9078-7a9482ebe8e7.|functional, Del Piero|8|2
ECOM-04048|Enhance cart component, optimize microservice backend.|Story|In Progress|DEV-Giulia|PO-Francesca|2024-01-21|2024-01-28|Medium|Task to cart component, microservice backend, and frontend Angular. Unique task identifier: 3e21d40a-c996-4f4f-a322-7c4b27528665.|functional, Del Piero|8|2
ECOM-94886|Enhance implementation, optimize performance.|Task|Open|DEV-Marco|PO-Marco|2024-01-17|2024-01-24|Low|Task to implementation, performance, and design. Unique task identifier: 90b99a72-3023-44bd-aa65-6ef0dc10878b.|functional, Del Piero|8|2
ECOM-62390|Enhance performance, optimize backend Java.|Task|In Progress|DEV-Giulia|PO-Giulia|2024-01-21|2024-01-26|High|Task to performance, backend Java, and frontend Angular. Unique task identifier: b48065f2-55c3-4ccf-b995-84f5fac43a75.|technical, Del Piero|5|2
ECOM-00944|Enhance performance, optimize microservice backend.|Task|Done|DEV-Luca|PO-Marco|2024-01-15|2024-01-17|High|Task to performance, microservice backend, and cart component. Unique task identifier: 1e4f156f-683c-42ca-a429-5ca9cf005ae1.|functional, Del Piero|2|2
ECOM-07963|Enhance backend Java, optimize invoice component.|Task|Open|DEV-Francesca|PO-Giulia|2024-01-18|2024-01-28|Low|Task to backend Java, invoice component, and performance. Unique task identifier: f270aca8-e166-4dee-be93-cbbd216e0ced.|functional, Del Piero|20|2
ECOM-56021|Enhance microservice backend, optimize cart component.|Story|In Progress|DEV-Sergio|PO-Giulia|2024-01-17|2024-01-27|Medium|Task to microservice backend, cart component, and design. Unique task identifier: 5e925795-c271-40d0-97c6-e5c7b0b9c0ce.|functional, Del Piero|20|2
ECOM-33904|Enhance frontend Angular, optimize backend Java.|Bug|Done|DEV-Anna|PO-Francesca|2024-01-17|2024-01-18|High|Task to frontend Angular, backend Java, and invoice component. Unique task identifier: f781f6b6-7cf2-4d9c-88f9-38196195ee47.|functional, Del Piero|1|2
ECOM-22693|Enhance ordering component, optimize backend Java.|Story|Open|DEV-Marco|PO-Giulia|2024-02-01|2024-02-08|Low|Task to ordering component, backend Java, and design. Unique task identifier: 20fb10f2-b36b-49ee-8192-a13d82d58e3d.|functional, Del Piero|8|3
ECOM-46480|Enhance design, optimize invoice component.|Bug|Open|DEV-Marco|PO-Marco|2024-02-02|2024-02-09|Medium|Task to design, invoice component, and ordering component. Unique task identifier: 96f62af4-33c7-4760-b324-e3aa1be4b108.|functional, Del Piero|8|3
ECOM-64604|Enhance design, optimize microservice backend.|Story|Open|DEV-Giulia|PO-Luca|2024-02-08|2024-02-15|High|Task to design, microservice backend, and implementation. Unique task identifier: 742b0da7-ac2f-4c99-be0c-b1a468e51cff.|functional, Del Piero|8|3
ECOM-23434|Enhance performance, optimize frontend Angular.|Story|Done|DEV-Luca|PO-Sergio|2024-01-30|2024-02-06|High|Task to performance, frontend Angular, and backend Java. Unique task identifier: 51d2454c-49d7-40dd-bd0a-0269dfe6898e.|functional, Del Piero|8|3
ECOM-56114|Enhance ordering component, optimize design.|Bug|In Progress|DEV-Marco|PO-Francesca|2024-01-29|2024-02-01|High|Task to ordering component, design, and microservice backend. Unique task identifier: 63687b0d-300b-4f11-8276-3f32e6844efb.|technical, Del Piero|3|3
ECOM-80781|Enhance invoice component, optimize design.|Bug|In Progress|DEV-Francesca|PO-Anna|2024-02-07|2024-02-17|Medium|Task to invoice component, design, and performance. Unique task identifier: a326891b-ae56-446d-9add-8b98e9a7f610.|functional, Del Piero|20|3
ECOM-01676|Enhance microservice backend, optimize implementation.|Story|Done|DEV-Francesca|PO-Marco|2024-01-29|2024-02-01|Medium|Task to microservice backend, implementation, and invoice component. Unique task identifier: 8ae52e2b-f8ad-4916-90e4-2ee554655183.|functional, Del Piero|3|3
ECOM-81030|Enhance performance, optimize ordering component.|Task|Done|DEV-Sergio|PO-Marco|2024-01-31|2024-02-05|High|Task to performance, ordering component, and DevOps activities. Unique task identifier: 8e475227-3948-41c5-bc0f-8402c2db5395.|functional, Del Piero|5|3
ECOM-18413|Enhance implementation, optimize invoice component.|Story|Done|DEV-Luca|PO-Giulia|2024-02-02|2024-02-05|Low|Task to implementation, invoice component, and frontend Angular. Unique task identifier: 20d43f07-94be-4463-9a40-5d6ba3ed514f.|functional, Del Piero|3|3
ECOM-54076|Enhance backend Java, optimize cart component.|Story|Open|DEV-Marco|PO-Francesca|2024-02-03|2024-02-06|High|Task to backend Java, cart component, and microservice backend. Unique task identifier: aaf13ca2-e634-4311-89ec-8770fa4596a9.|functional, Del Piero|3|3
ECOM-79902|Enhance ordering component, optimize backend Java.|Bug|In Progress|DEV-Sergio|PO-Francesca|2024-02-07|2024-02-09|Medium|Task to ordering component, backend Java, and DevOps activities. Unique task identifier: b0b47e85-f927-49b3-94f5-19a2b906d8f2.|functional, Del Piero|2|3
ECOM-00678|Enhance backend Java, optimize design.|Task|Done|DEV-Anna|PO-Giulia|2024-01-31|2024-02-02|Low|Task to backend Java, design, and implementation. Unique task identifier: 08666ad0-b047-42a0-bdd5-2d4ecdf99ae8.|functional, Del Piero|2|3
ECOM-86879|Enhance implementation, optimize microservice backend.|Task|In Progress|DEV-Giulia|PO-Giulia|2024-02-04|2024-02-06|Low|Task to implementation, microservice backend, and invoice component. Unique task identifier: fffe09ff-e44a-4915-abe7-e04b008d252c.|technical, Del Piero|2|3
ECOM-91490|Enhance design, optimize microservice backend.|Task|Open|DEV-Marco|PO-Giulia|2024-01-30|2024-01-31|Medium|Task to design, microservice backend, and performance. Unique task identifier: 09dd1517-f501-40f0-b864-7b6b83d372c9.|functional, Del Piero|1|3
ECOM-24583|Enhance DevOps activities, optimize implementation.|Story|Done|DEV-Giulia|PO-Giulia|2024-02-01|2024-02-02|Low|Task to DevOps activities, implementation, and design. Unique task identifier: a2e5a332-2dc9-4e21-91e6-7aec57f36833.|functional, Del Piero|1|3
ECOM-95728|Enhance implementation, optimize invoice component.|Story|Done|DEV-Anna|PO-Anna|2024-02-01|2024-02-02|Medium|Task to implementation, invoice component, and ordering component. Unique task identifier: 665b0930-4dae-4908-8307-b142cab775ff.|functional, Del Piero|1|3
ECOM-67623|Enhance frontend Angular, optimize ordering component.|Story|Done|DEV-Francesca|PO-Francesca|2024-02-01|2024-02-03|Medium|Task to frontend Angular, ordering component, and cart component. Unique task identifier: d1d8b7f9-fc5a-45f8-9fe7-cf359b22a29a.|functional, Del Piero|2|3
ECOM-89696|Enhance backend Java, optimize invoice component.|Story|Done|DEV-Sergio|PO-Anna|2024-01-10|2024-01-17|Medium|Task to backend Java, invoice component, and ordering component. Unique task identifier: c1f75db8-87c8-4218-a6e5-88442dc03ada.|functional, Baggio|8|1
ECOM-63069|Enhance ordering component, optimize design.|Story|In Progress|DEV-Francesca|PO-Marco|2024-01-08|2024-01-15|Medium|Task to ordering component, design, and frontend Angular. Unique task identifier: 1b7054b4-b153-46e3-80d7-8c5d0b09bfc3.|technical, Baggio|8|1
ECOM-71471|Enhance implementation, optimize invoice component.|Bug|Open|DEV-Sergio|PO-Marco|2024-01-08|2024-01-15|Low|Task to implementation, invoice component, and microservice backend. Unique task identifier: cb3879da-fae2-4649-b7c8-12665e88c2af.|functional, Baggio|8|1
ECOM-64116|Enhance DevOps activities, optimize design.|Bug|Done|DEV-Sergio|PO-Luca|2024-01-02|2024-01-09|Medium|Task to DevOps activities, design, and microservice backend. Unique task identifier: 99bb9017-9341-4754-9b51-29757c1e3d3e.|functional, Baggio|8|1
ECOM-53747|Enhance cart component, optimize invoice component.|Story|In Progress|DEV-Sergio|PO-Marco|2024-01-09|2024-01-10|Low|Task to cart component, invoice component, and design. Unique task identifier: 2dd7ca95-ee6c-41b1-921d-1445139b9a12.|functional, Baggio|1|1
ECOM-36936|Enhance microservice backend, optimize DevOps activities.|Bug|In Progress|DEV-Luca|PO-Sergio|2024-01-05|2024-01-10|Low|Task to microservice backend, DevOps activities, and design. Unique task identifier: d323ce0b-2548-436f-a897-f280bf1bf134.|functional, Baggio|5|1
ECOM-86194|Enhance backend Java, optimize cart component.|Story|Open|DEV-Luca|PO-Giulia|2024-01-06|2024-01-15|Low|Task to backend Java, cart component, and ordering component. Unique task identifier: cb2ff305-9c3e-447b-abad-416069e9d11e.|technical, Baggio|13|1
ECOM-57523|Enhance ordering component, optimize cart component.|Story|Open|DEV-Marco|PO-Giulia|2024-01-09|2024-01-18|Medium|Task to ordering component, cart component, and backend Java. Unique task identifier: dc2dffec-56b4-4e44-938d-8b687d4f7729.|functional, Baggio|13|1
ECOM-16757|Enhance backend Java, optimize cart component.|Bug|In Progress|DEV-Luca|PO-Sergio|2024-01-08|2024-01-10|Medium|Task to backend Java, cart component, and microservice backend. Unique task identifier: 8d1c321a-786c-4c6f-904d-a0f8c632feed.|functional, Baggio|2|1
ECOM-29064|Enhance backend Java, optimize ordering component.|Bug|Open|DEV-Sergio|PO-Anna|2024-01-06|2024-01-07|High|Task to backend Java, ordering component, and performance. Unique task identifier: 0b18c48a-18bd-4148-ac09-5d116df55f97.|functional, Baggio|1|1
ECOM-22174|Enhance implementation, optimize design.|Task|Open|DEV-Anna|PO-Anna|2024-01-07|2024-01-08|Medium|Task to implementation, design, and performance. Unique task identifier: 42798e2d-f4a9-447a-b6ea-c52db35e298e.|functional, Baggio|1|1
ECOM-87523|Enhance frontend Angular, optimize backend Java.|Bug|Done|DEV-Sergio|PO-Francesca|2024-01-04|2024-01-09|Low|Task to frontend Angular, backend Java, and cart component. Unique task identifier: 9617d5fb-7c4c-42b2-8f1f-99678e922fa2.|technical, Baggio|5|1
ECOM-10722|Enhance design, optimize ordering component.|Story|In Progress|DEV-Giulia|PO-Francesca|2024-01-04|2024-01-09|Medium|Task to design, ordering component, and frontend Angular. Unique task identifier: 5156bbcd-ebde-48fa-b1f0-7f6779d4f68f.|functional, Baggio|5|1
ECOM-72141|Enhance microservice backend, optimize performance.|Task|Open|DEV-Luca|PO-Anna|2024-01-11|2024-01-13|Medium|Task to microservice backend, performance, and implementation. Unique task identifier: 7a32976a-9928-4b1b-86be-02e0ef317b2f.|technical, Baggio|2|1
ECOM-59632|Enhance microservice backend, optimize performance.|Story|Done|DEV-Anna|PO-Francesca|2024-01-18|2024-01-25|High|Task to microservice backend, performance, and design. Unique task identifier: 04e070e7-81bf-4c11-98cb-d0ab6f84ffaa.|technical, Baggio|8|2
ECOM-92288|Enhance DevOps activities, optimize microservice backend.|Bug|Open|DEV-Anna|PO-Sergio|2024-01-20|2024-01-27|Low|Task to DevOps activities, microservice backend, and frontend Angular. Unique task identifier: b6f91a08-b7ff-4d9d-9ca1-f224631f1051.|technical, Baggio|8|2
ECOM-54058|Enhance design, optimize microservice backend.|Story|Open|DEV-Anna|PO-Anna|2024-01-15|2024-01-22|Medium|Task to design, microservice backend, and backend Java. Unique task identifier: 98e2e079-6b53-4e90-af63-0e1fafe34999.|functional, Baggio|8|2
ECOM-19140|Enhance implementation, optimize invoice component.|Story|Open|DEV-Anna|PO-Sergio|2024-01-20|2024-01-27|Low|Task to implementation, invoice component, and DevOps activities. Unique task identifier: cff8780d-19de-4695-8d61-c2448e3cb053.|functional, Baggio|8|2
ECOM-87638|Enhance performance, optimize microservice backend.|Bug|Open|DEV-Francesca|PO-Francesca|2024-01-15|2024-01-17|Low|Task to performance, microservice backend, and cart component. Unique task identifier: 31a4e4ea-8edf-448a-a46a-1f1443b33266.|functional, Baggio|2|2
ECOM-48043|Enhance cart component, optimize design.|Bug|Open|DEV-Luca|PO-Anna|2024-01-15|2024-01-20|Medium|Task to cart component, design, and DevOps activities. Unique task identifier: 9d279393-94a1-4c63-be69-4d8846e7417c.|functional, Baggio|5|2
ECOM-97416|Enhance ordering component, optimize frontend Angular.|Bug|Open|DEV-Francesca|PO-Marco|2024-01-21|2024-01-31|Medium|Task to ordering component, frontend Angular, and invoice component. Unique task identifier: a0a0dee2-b274-4573-b8ec-cdb224f1f642.|functional, Baggio|20|2
ECOM-79151|Enhance backend Java, optimize DevOps activities.|Story|Done|DEV-Marco|PO-Francesca|2024-01-21|2024-01-31|Medium|Task to backend Java, DevOps activities, and performance. Unique task identifier: 9587096b-a6e0-4791-b2f8-c0ce82384bc0.|functional, Baggio|20|2
ECOM-40482|Enhance ordering component, optimize implementation.|Story|Done|DEV-Luca|PO-Marco|2024-01-25|2024-01-26|Medium|Task to ordering component, implementation, and backend Java. Unique task identifier: 5f3fcd05-feb0-4d0e-8e49-4fcb6acdd7d5.|functional, Baggio|1|2
ECOM-32921|Enhance ordering component, optimize performance.|Task|Done|DEV-Anna|PO-Luca|2024-02-05|2024-02-12|High|Task to ordering component, performance, and frontend Angular. Unique task identifier: 3d79e2df-8be1-4447-8df7-ee9539de9027.|functional, Baggio|8|3
ECOM-58341|Enhance microservice backend, optimize invoice component.|Task|In Progress|DEV-Giulia|PO-Sergio|2024-01-29|2024-02-05|Low|Task to microservice backend, invoice component, and performance. Unique task identifier: d395c6e8-fb19-462f-b0ad-acbd24def5ba.|functional, Baggio|8|3
ECOM-63388|Enhance DevOps activities, optimize implementation.|Task|Open|DEV-Marco|PO-Anna|2024-02-03|2024-02-10|Low|Task to DevOps activities, implementation, and invoice component. Unique task identifier: e730e66e-7225-4d56-b89f-f456d3ec3d6f.|functional, Baggio|8|3
ECOM-30151|Enhance design, optimize invoice component.|Story|Open|DEV-Marco|PO-Francesca|2024-02-03|2024-02-10|Low|Task to design, invoice component, and ordering component. Unique task identifier: ef8c06ae-0a63-4da6-a135-c9589af89510.|technical, Baggio|8|3
ECOM-18598|Enhance microservice backend, optimize ordering component.|Bug|In Progress|DEV-Francesca|PO-Anna|2024-02-03|2024-02-08|High|Task to microservice backend, ordering component, and design. Unique task identifier: c8783b4e-6a18-4aa4-a596-2111c663b0d9.|technical, Baggio|5|3
ECOM-27962|Enhance ordering component, optimize implementation.|Bug|In Progress|DEV-Francesca|PO-Sergio|2024-02-03|2024-02-13|High|Task to ordering component, implementation, and microservice backend. Unique task identifier: c779dc0b-bfe0-4b68-8fa5-9ce928bb71d3.|functional, Baggio|20|3
ECOM-75371|Enhance cart component, optimize ordering component.|Story|In Progress|DEV-Sergio|PO-Anna|2024-02-03|2024-02-08|High|Task to cart component, ordering component, and implementation. Unique task identifier: 2a2091d8-06ee-41ed-92e4-caf7f3676e59.|technical, Baggio|5|3
ECOM-70146|Enhance DevOps activities, optimize frontend Angular.|Task|Open|DEV-Marco|PO-Luca|2024-02-07|2024-02-12|Low|Task to DevOps activities, frontend Angular, and microservice backend. Unique task identifier: c2fbe10d-01be-4528-9646-3ad304a296a0.|functional, Baggio|5|3
ECOM-57057|Enhance invoice component, optimize cart component.|Task|Open|DEV-Giulia|PO-Francesca|2024-02-02|2024-02-04|Low|Task to invoice component, cart component, and implementation. Unique task identifier: 78397a6d-5595-480c-951e-0c5420358337.|functional, Baggio|2|3
ECOM-81638|Enhance microservice backend, optimize DevOps activities.|Task|Open|DEV-Sergio|PO-Francesca|2024-01-31|2024-02-05|Medium|Task to microservice backend, DevOps activities, and implementation. Unique task identifier: fd2f135e-f211-4070-9f03-f2149a8429ff.|technical, Baggio|5|3
ECOM-99188|Enhance performance, optimize design.|Task|In Progress|DEV-Anna|PO-Anna|2024-02-01|2024-02-02|High|Task to performance, design, and cart component. Unique task identifier: f6591f3f-7e9f-4cc6-ab56-46a3d9100a65.|functional, Baggio|1|3
ECOM-80379|Enhance invoice component, optimize frontend Angular.|Bug|In Progress|DEV-Sergio|PO-Marco|2024-02-08|2024-02-11|Medium|Task to invoice component, frontend Angular, and cart component. Unique task identifier: dda91e0d-3f59-4323-afb3-d57185770d0f.|technical, Baggio|3|3
ECOM-64174|Enhance microservice backend, optimize cart component.|Bug|Open|DEV-Sergio|PO-Anna|2024-02-02|2024-02-04|Medium|Task to microservice backend, cart component, and backend Java. Unique task identifier: c86f4153-471f-4ce0-88a7-8a841b2de880.|technical, Baggio|2|3
ECOM-83357|Enhance implementation, optimize DevOps activities.|Task|Done|DEV-Anna|PO-Sergio|2024-01-11|2024-01-18|Low|Task to implementation, DevOps activities, and cart component. Unique task identifier: ac33ea94-3d43-42b4-a0bc-5071d12b1c4b.|functional, Mancini|8|1
ECOM-66634|Enhance implementation, optimize ordering component.|Bug|Open|DEV-Francesca|PO-Luca|2024-01-11|2024-01-18|Low|Task to implementation, ordering component, and DevOps activities. Unique task identifier: 9db28b27-f748-480f-b379-c6e7277b6b9c.|technical, Mancini|8|1
ECOM-56156|Enhance implementation, optimize DevOps activities.|Task|Open|DEV-Anna|PO-Francesca|2024-01-03|2024-01-10|Medium|Task to implementation, DevOps activities, and microservice backend. Unique task identifier: 30697f08-0229-4180-a7b0-0fa19d5a2c06.|functional, Mancini|8|1
ECOM-60923|Enhance implementation, optimize invoice component.|Bug|Done|DEV-Francesca|PO-Francesca|2024-01-06|2024-01-13|Medium|Task to implementation, invoice component, and performance. Unique task identifier: 78e84adc-6a8b-4233-8daf-b12a13732eac.|technical, Mancini|8|1
ECOM-24892|Enhance frontend Angular, optimize DevOps activities.|Story|Done|DEV-Marco|PO-Giulia|2024-01-05|2024-01-08|Medium|Task to frontend Angular, DevOps activities, and design. Unique task identifier: fed61d3a-0b8d-40e9-913e-20a7adae0740.|functional, Mancini|3|1
ECOM-84729|Enhance cart component, optimize microservice backend.|Task|Done|DEV-Anna|PO-Luca|2024-01-07|2024-01-17|Medium|Task to cart component, microservice backend, and design. Unique task identifier: 26a60a31-e530-4662-9b54-c7450005ce76.|functional, Mancini|20|1
ECOM-92383|Enhance invoice component, optimize microservice backend.|Task|Open|DEV-Anna|PO-Marco|2024-01-02|2024-01-11|High|Task to invoice component, microservice backend, and cart component. Unique task identifier: 8762d73c-3c99-409e-b64f-42233c486c68.|functional, Mancini|13|1
ECOM-77932|Enhance DevOps activities, optimize implementation.|Bug|In Progress|DEV-Anna|PO-Luca|2024-01-07|2024-01-09|Medium|Task to DevOps activities, implementation, and invoice component. Unique task identifier: 046e0be1-7884-47d2-a569-73930eb96c76.|functional, Mancini|2|1
ECOM-11606|Enhance DevOps activities, optimize implementation.|Story|Open|DEV-Anna|PO-Marco|2024-01-08|2024-01-13|High|Task to DevOps activities, implementation, and invoice component. Unique task identifier: 76ee2aec-d88d-46b5-9924-8ed9a5199aa1.|functional, Mancini|5|1
ECOM-05920|Enhance implementation, optimize performance.|Bug|Open|DEV-Sergio|PO-Anna|2024-01-09|2024-01-10|Low|Task to implementation, performance, and backend Java. Unique task identifier: 6a4c4702-602d-4d73-b7c6-aef9eb8d3df9.|functional, Mancini|1|1
ECOM-91154|Enhance implementation, optimize performance.|Task|Done|DEV-Luca|PO-Marco|2024-01-05|2024-01-06|Medium|Task to implementation, performance, and frontend Angular. Unique task identifier: ac2a1074-42a2-46b8-a1b0-6ba24c4ce1c4.|functional, Mancini|1|1
ECOM-40890|Enhance backend Java, optimize cart component.|Bug|Open|DEV-Giulia|PO-Giulia|2024-01-06|2024-01-09|High|Task to backend Java, cart component, and microservice backend. Unique task identifier: c12917bd-22f8-4bae-bff5-90a56db286ce.|functional, Mancini|3|1
ECOM-54188|Enhance frontend Angular, optimize cart component.|Bug|Open|DEV-Francesca|PO-Francesca|2024-01-15|2024-01-22|Low|Task to frontend Angular, cart component, and backend Java. Unique task identifier: e6cc2b25-7a00-4134-a923-8a154781afbb.|technical, Mancini|8|2
ECOM-09051|Enhance performance, optimize invoice component.|Bug|Open|DEV-Luca|PO-Sergio|2024-01-24|2024-01-31|High|Task to performance, invoice component, and design. Unique task identifier: c6ab3646-f3bd-435a-883f-554e503503b6.|technical, Mancini|8|2
ECOM-28487|Enhance cart component, optimize invoice component.|Task|Open|DEV-Francesca|PO-Luca|2024-01-16|2024-01-23|Medium|Task to cart component, invoice component, and DevOps activities. Unique task identifier: 53c2a4eb-db71-48f0-8e2a-17b9c9080ea3.|functional, Mancini|8|2
ECOM-63780|Enhance implementation, optimize performance.|Story|In Progress|DEV-Sergio|PO-Francesca|2024-01-23|2024-01-30|High|Task to implementation, performance, and DevOps activities. Unique task identifier: 46a90c9c-9309-478a-8f42-2117ba38b710.|functional, Mancini|8|2
ECOM-48168|Enhance cart component, optimize performance.|Task|Open|DEV-Giulia|PO-Francesca|2024-01-16|2024-01-17|Low|Task to cart component, performance, and frontend Angular. Unique task identifier: b74138c4-49ae-4cab-8702-4564cf7c467c.|functional, Mancini|1|2
ECOM-57836|Enhance microservice backend, optimize frontend Angular.|Task|Open|DEV-Marco|PO-Francesca|2024-01-23|2024-02-01|Medium|Task to microservice backend, frontend Angular, and implementation. Unique task identifier: 191f504e-ec93-4150-90b9-10361122a7fd.|functional, Mancini|13|2
ECOM-87275|Enhance microservice backend, optimize implementation.|Bug|In Progress|DEV-Anna|PO-Marco|2024-01-20|2024-01-21|High|Task to microservice backend, implementation, and performance. Unique task identifier: 61000747-bf24-4299-8cc5-1d5efcfde5db.|functional, Mancini|1|2
ECOM-82430|Enhance implementation, optimize cart component.|Story|Done|DEV-Luca|PO-Marco|2024-01-21|2024-01-26|High|Task to implementation, cart component, and microservice backend. Unique task identifier: 92c6fb0e-907c-4d16-84f1-1d074b2374c3.|functional, Mancini|5|2
ECOM-04867|Enhance implementation, optimize microservice backend.|Task|Open|DEV-Giulia|PO-Giulia|2024-01-18|2024-01-23|High|Task to implementation, microservice backend, and cart component. Unique task identifier: f51170bf-306b-4e9c-a5b8-be2f68eda1fe.|technical, Mancini|5|2
ECOM-00211|Enhance DevOps activities, optimize microservice backend.|Story|Open|DEV-Sergio|PO-Sergio|2024-01-15|2024-01-17|Medium|Task to DevOps activities, microservice backend, and implementation. Unique task identifier: 050389b9-b993-4858-a540-451bc63e33f5.|functional, Mancini|2|2
ECOM-68040|Enhance frontend Angular, optimize backend Java.|Story|In Progress|DEV-Marco|PO-Marco|2024-01-20|2024-01-29|High|Task to frontend Angular, backend Java, and microservice backend. Unique task identifier: 3a7ed25f-e97e-4048-a3e0-3bd0cacb57c5.|technical, Mancini|13|2
ECOM-46008|Enhance design, optimize ordering component.|Task|In Progress|DEV-Francesca|PO-Sergio|2024-01-24|2024-01-29|Low|Task to design, ordering component, and microservice backend. Unique task identifier: df274c81-3d00-4038-98ec-8b2e7320260f.|functional, Mancini|5|2
ECOM-78050|Enhance backend Java, optimize ordering component.|Bug|Done|DEV-Francesca|PO-Marco|2024-01-22|2024-01-23|Low|Task to backend Java, ordering component, and invoice component. Unique task identifier: c69acbca-b23e-4dc9-87e5-9112a58214f1.|functional, Mancini|1|2
ECOM-06872|Enhance backend Java, optimize implementation.|Bug|Done|DEV-Sergio|PO-Anna|2024-01-24|2024-01-25|Low|Task to backend Java, implementation, and cart component. Unique task identifier: c05153f9-08f0-44ba-a242-92ce0f7dac38.|functional, Mancini|1|2
ECOM-72902|Enhance cart component, optimize performance.|Story|Open|DEV-Giulia|PO-Marco|2024-01-15|2024-01-16|Low|Task to cart component, performance, and backend Java. Unique task identifier: b812223a-05e7-4ee1-b519-1fb7e18f08e2.|functional, Mancini|1|2
ECOM-74762|Enhance DevOps activities, optimize design.|Story|Open|DEV-Anna|PO-Giulia|2024-02-03|2024-02-10|Medium|Task to DevOps activities, design, and backend Java. Unique task identifier: ab85dfcc-30cb-438e-88a2-ce1e6675dc61.|functional, Mancini|8|3
ECOM-94689|Enhance backend Java, optimize invoice component.|Story|Done|DEV-Anna|PO-Luca|2024-01-29|2024-02-05|Low|Task to backend Java, invoice component, and microservice backend. Unique task identifier: de77e3f6-acba-4aff-8204-189ec12beb50.|functional, Mancini|8|3
ECOM-95259|Enhance microservice backend, optimize frontend Angular.|Bug|In Progress|DEV-Luca|PO-Sergio|2024-01-30|2024-02-06|Medium|Task to microservice backend, frontend Angular, and performance. Unique task identifier: ce6d2a33-d151-462a-ad4a-1f002e421578.|functional, Mancini|8|3
ECOM-24104|Enhance design, optimize performance.|Story|In Progress|DEV-Francesca|PO-Anna|2024-01-31|2024-02-07|Medium|Task to design, performance, and ordering component. Unique task identifier: 20a22408-ba4d-4fe3-8220-7a8f6fac5781.|functional, Mancini|8|3
